gvkey,datadate,fyear,tic,act,at,dltt,ebit,emp,fatb,gp,intan,ni,revt
1300,20001231,2000,HON,10661,25175,3941,3629,125,2134,7758,5898,1659,25023
1300,20011231,2001,HON,9894,24226,4731,2748,115,1968,6384,6356,-99,23652
1300,20021231,2002,HON,10195,27559,4719,2508,108,1836,5950,6873,-220,22274
1300,20031231,2003,HON,11523,29344,4961,2194,108,1964,5801,6988,1324,23103
1300,20041231,2004,HON,12820,31062,4069,2346,109,2027,6287,7254,1281,25601
1300,20051231,2005,HON,11962,32294,3082,2848,116,2120,7209,9636,1655,27653
1300,20061231,2006,HON,12304,30941,3909,3544,118,2056,8537,9650,2083,31367
1300,20071231,2007,HON,13685,33805,5419,4267,122,2244,9621,10673,2444,34589
1300,20081231,2008,HON,13263,35490,5865,4541,128,2429,10375,12452,2792,36556
1300,20091231,2009,HON,13936,36004,6246,3860,122,2621,9094,12668,2153,30908
1300,20101231,2010,HON,15011,37834,5755,3734,130,2669,9400,14171,2022,33370
1300,20111231,2011,HON,16134,39808,6881,3317,132,2897,9569,14335,2067,36529
1300,20121231,2012,HON,17598,41853,6395,4599,132,3078,10730,14874,2926,37665
1300,20131231,2013,HON,21164,45435,6801,6164,131,3157,12248,15560,3924,39055
1300,20141231,2014,HON,22191,45451,6046,6429,127,3119,12798,14996,4239,40306
1300,20151231,2015,HON,20053,49316,5554,7374,129,3188,13200,20472,4768,38581
1300,20161231,2016,HON,23058,54146,12182,7109,131,3248,13482,22341,4809,39302
1690,20000930,2000,AAPL,5427,6803,300,620,11.728,,2250,,786,7983
1690,20010930,2001,AAPL,5143,6021,317,-333,11.434,,1337,,-25,5363
1690,20020930,2002,AAPL,5388,6298,316,46,12.241,,1721,119,65,5742
1690,20030930,2003,AAPL,5887,6815,0,25,13.566,,1819.8,109,69,6207
1690,20040930,2004,AAPL,7055,8050,0,349,13.426,,2408.5,97,276,8279
1690,20050930,2005,AAPL,10300,11551,0,1650,16.82,,4208.7,134,1335,13931
1690,20060930,2006,AAPL,14509,17205,0,2453,20.186,,5807.8,198,1989,19315
1690,20070930,2007,AAPL,21956,25347,0,4409,23.7,,8451,420,3496,24006
1690,20080930,2008,AAPL,34690,39572,0,6275,35.1,,11581,559,4834,32479
1690,20090930,2009,AAPL,31555,47501,0,11740,36.8,,17906,559,8235,42905
1690,20100930,2010,AAPL,41678,75183,0,18385,49.4,,26616,1083,14013,65225
1690,20110930,2011,AAPL,44988,116371,0,33790,63.3,,45640,4432,25922,108249
1690,20120930,2012,AAPL,57653,176064,0,55241,76.1,,71867,5359,41733,156508
1690,20130930,2013,AAPL,73286,207000,16960,48999,84.4,,71061,5756,37037,170910
